 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1714400,202001,0001-0600,ORD.Airport,IL,,,,15000,,,,,,,,TRACON C90,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,IFR,Passenger,FMS Or FMC,Climb,Direct; Vectors,Class B ORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON C90,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,,Part 121,IFR,Passenger,FMS Or FMC,Climb,Direct,Class B ORD,,,,,,,,,,,,,,,,,,,,,,,,Facility C90.TRACON,,Government,Departure,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1,,Situational Awareness; Communication Breakdown; Confusion,Party1 ATC; Party2 Flight Crew,,1714400,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Separated Traffic,Aircraft; Company Policy,Company Policy,"To be clear I did not have a lot going on and my complexity was not high. That is why this was a non-event. However; ORD was super busy on two runways for a little bit and I am sure the Tower was very busy landing 28C departing 28R and 22L. Ground could have also been busy so that is why I put the information in there on complexity and amount of volume. Here is what happened; we were on outboards at ORD. There were a lot of aircraft going over the airport to balance the runways. I had a strip print and an aircraft depart and tag up. It was Aircraft Z. I was waiting for this aircraft to call on. I was waiting and waiting and making a plan. Then the aircraft started climbing out of 5;000 feet; so I reached out and tried to turn the aircraft. He didn't turn or answer. I didn't know what happened or was happening. Then I did it again. I was just about to call back to the Tower and the position next to me was giving a briefing and they turned their aircraft to EARND.Aircraft X. Now they departed off of two different runways but I said to the guy next to me; 'Hey; see if you have Aircraft Z by chance.' He did. So somehow Aircraft Z going westbound departing off of Runway 28R was on the same frequency as Aircraft X departing off of Runway 22L. When the instruction for Aircraft X was given; Aircraft Z and Aircraft X took it. The Controller said he didn't hear any indication that there was a step on each other or anything. During this time Aircraft Y also had departed and went to the incorrect frequency and that Controller had to send him to the correct frequency. So there were 3 similar sounding aircraft on 1 frequency when only two were supposed to be there and they were all climbing when only two were supposed to be. We have tried to explain how bad incorrect frequency transfers could be and have kept records for months but it seems there is no sense of urgency at how bad this could be. The two aircraft came within approximately 4 miles from each other with one climbing blindly. That was very lucky.My recommendations would be to track these incidents when similar sounding aircraft are on the same frequency so that it can be brought to the airline dispatchers' attention and show the replay on what could happen and why they should be aware of the issue. However; when I have brought these things recently to our supervisors in the room; they have been advised that they should not keep track of things like this by [the] upper management Operations managers and higher. They tell us we should report it when they could report it just like I can. This was luck this time that nothing happened. So I guess we will just open that Swiss cheese holes with negligence and laziness and I will be in the seat one day when two planes come together and I may not be lucky like this time to be able to listen to the person next to me give the briefing. Or we can go back to due diligence; attentiveness; and caring and report things like this and care about the operation. Put effort on everyone's end to know when similar call signs are on frequencies or multiple frequencies. Demand that Dispatch works hard to not use call signs like this. Or not; who cares any more right.",,,,"A TRACON Departure Controller reported two aircraft flew dangerously close conflicting courses due to one aircraft taking the instruction of another aircraft with a nearly identical call sign departing at the same time.",
1714553,202001,1801-2400,ZHU.ARTCC,TX,,,,14000,,VMC,,,Night,,,Center ZHU,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Descent,Direct,Class E ZHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Physiological - Other; Distraction,,,1714553,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Illness / Injury; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; General Physical Injury / Incapacitation,Human Factors; Environment - Non Weather Related,Environment - Non Weather Related,"While descending into PIB out of 14;000 ft. MSL; our aircraft was repeatedly illuminated by a green laser pointer approximately 100 times over about 5 minutes. The first illumination was from a distance of around 20-30 miles. The aircraft had a failed flight director and autopilot at the time and extra attention was required by both pilots for flight path management. Both pilots were directly hit by the laser on several occasions causing minor vision spotting. We notified approach of the approximate source location as we went over it. The laser continued hitting the aircraft as we flew by illuminating the entire flight deck. We were able to land at PIB without incident. I still have spots in my eyes approximately 1.5 hours after exposure. This was by far the worst encounter I have had with a laser while flying an aircraft.It seems to me that pointing a laser at an aircraft should be made illegal. If that doesn't work; borrowing laser guided bombs from the Air Force might be an option.",,,,"CRJ Captain reported that a laser shone repeatedly into the cockpit resulted in distraction and persisting vision spots.",
1714675,202001,1801-2400,ZZZ.ARTCC,US,,,,9000,,IMC,Icing; Rain; Cloudy,,Daylight,,,,Air Carrier,Cessna 402/402C/B379 Businessliner/Utiliner,,1,Part 121,IFR,Passenger,,Cruise,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Window Ice/Rain System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1714675,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Took Evasive Action; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Weather; Procedure,Weather,"I was boarding the aircraft when a my destination airport changed a NOTAM at my destination airport closing the runway until a further time that day; at the time I was in the aircraft boarding my passengers as I had received an IFR clearance to my destination 10 minutes before. While I was departing the area VFR on an IFR clearance I encountered moderate turbulence below 9000 ft. I reported the weather conditions to both ARTCC and [Operations Control]. At 9000 ft. I entered Icing conditions and requested a higher altitude to get out of the ice. I was assigned 11000 ft. and once established in cruise approximately 50NM from billings I was advised by ARTCC that ZZZ my destination airport had just reported both runway closures and to advise of intentions. I contacted [Operations Control] of the situation and suggested a possible diversion to ZZZ1 instead so as to shuttle the passengers to ZZZ and return back REPO. They liked the plan and said they would contact ZZZ1 to gain conditions and see if they could organize passenger transport. I advised my passengers of the situation. I then was contacted by [Operations Control] that the situation was also bad in ZZZ1 and they too intended to close the runway. I then advised ATC a return to ZZZ2. Shortly after this radio communication I encountered Freezing Rain I advised ATC of the weather conditions and [Operations Control] I also requested a decent to get out of icing conditions. Shortly after this I noticed the annunciation panel was black during windshield operation and noticed the ice was not coming off the windshield. I complied with the QRH and [Requested Priority Handling] with ARTCC due to windshield anti-ice failure. I notified [Operations Control] and got into contact with the ZZZ2 station Manager and advised him of the weather conditions in the area at the diversion airport and of the priority situation. After descending several thousand feet the ice did not clear. I requested ATC give me a lower altitude to try and reach above freezing altitude. At approximately 6000 ft. the windshield ice broke off and I continued with a Visual Approach to Runway XX. After I landed and taxied in I spoke with the passengers: [airport rescue and firefighting]; [Operations Control]; Dispatch; [Maintenance Control]; Station Manager and Station Supervisor about the situation. I made a maintenance log book entry and complied with company policy and procedure to secure the aircraft at the hanger.Windshield De-ice/Anti-Ice Circuit Breaker tripped in icing conditions. For weather diversion(s); unforecasted adverse weather.One thing I could have done to avoid the situation with the diversions would be to check the NOTAMs at flight time so as to make sure that inclement weather changes do not change runways conditions from open to closed.",,,,"Pilot reported weather and a closed destination airport required an air turnback; during which windshield anti ice failed.",
1714708,202001,0601-1200,ZZZ.Airport,US,,,0,,,Marginal,,,Daylight,,,,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 91,IFR,Ferry / Re-Positioning,,Parked,,,,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Dispatcher,Dispatch Dispatcher,,,Situational Awareness; Communication Breakdown,Party1 Dispatch; Party2 Maintenance; Party2 Flight Crew,,1714708,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance; Party2 Dispatch,,1715032,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Dispatch,In-flight,General None Reported / Taken,Procedure; Logbook Entry; Human Factors,Ambiguous,"I had a ferry flight that went out of service when a maintenance discrepancy was submitted. Maintenance at their departure airport told them they were good to go with the ferry permit; but they were not yet returned to service through the Logbook. I didn't notice that they had taken off yet; but when the maintenance release form came through; I realized they were already in the air.I was not aware that the origin Maintenance had told the CA (Captain) he was good to go; and I was not watching as closely as I could have been to make sure he knew he was still out of service. I assumed he would know to wait for the in service message; but with a ferry flight; many pilots often get confused on the policies/procedures.There should be more clear guidance to pilots about non-routine flights; like test flights and ferry flights; that they need to be showing in service before departing; no matter what Line Maintenance or Maintenance Control tells them. The only thing I could have done differently is make sure the CA was aware that he needed to be in service in an maintenance release form status.",,"We departed ZZZ ferrying an un-airworthy aircraft; due to maintenance; with a ferry permit in 'OTS' (Out of Service). Dispatch sent us a message saying we had taken off in OTS and that a report would be filed.We took off from ZZZ because the Captain had been told by Maintenance Control and Dispatch in a conference call that the plane had a ferry permit and that we were safe to depart. In addition; a member of the maintenance staff in ZZZ came out to the aircraft and told us that we were 'good to depart'. Since we're flying under Part 91 with a ferry permit and we had a valid release we believed that to be the case and taxied our aircraft to depart ZZZ.There needs to be better communication as coordination between Maintenance Control; Dispatch and the flight crew during repositioning and ferry flights.",,"Air carrier Dispatcher and flight crew reported aircraft was ferried despite not being returned to service.",
1714843,202001,1801-2400,OSU.Airport,OH,,0,0,,,VMC,10,,Night,12000,,Tower OSU,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,None,Personal,,Cruise,Visual Approach,Class D OSU,,,,,,,,,,,,,,,,,,,,,,,,Electrical Power,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 12; Flight Crew Total 92; Flight Crew Type 80,,Communication Breakdown; Troubleshooting; Workload,Party1 Flight Crew; Party2 ATC,,1714843,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Landing Without Clearance,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition,Aircraft; Airport,Aircraft,"We were flying at 2500 ft. I started losing electrical power. At that point I was unable to light up the runway without a radio; and could not identify it to land safely in the dark. I decided to fly to a towered airport. I had no way to communicate with the tower other than a hand held light from the cockpit. I saw traffic was clear; and came in for a landing. Once on the ground I was able to contact the tower with a cell phone. We were directed to a secure parking area where we were greeted and shown to the FBO. No paperwork was requested to be filed.",,,,"A Pilot reported a loss of electrical power at night and diverting to a towered airport.",
1714856,202001,1201-1800,SBA.Airport,CA,,,,2300,,VMC,,,Daylight,,,Tower SBA,Personal,Sail Plane,,1,Part 91,VFR,,,Final Approach,None,Class C SBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower SBA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Initial Approach,Visual Approach,Class C SBA,,,,,,,,,,,,,,,,,,,,,,,,Facility SBA.Tower,,Government,Instructor; Local,Air Traffic Control Developmental,,,Communication Breakdown; Time Pressure; Training / Qualification,Party1 ATC; Party2 Flight Crew,,1714856,Facility SBA.Tower,,Government,Local; Instructor,Air Traffic Control Fully Certified,,,Communication Breakdown,Party1 ATC; Party2 Flight Crew,,1714858,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach,Procedure,Procedure,"Aircraft X was approximately 5 Miles NW of the field when Approach Control approval-requested a right downwind entry for Runway 25; capped 2;000 and above for other VFR arrival aircraft for Runway 15L. I approved the request; as soon as traffic permitted I allowed Aircraft X his VFR descent at pilot discretion when he was approximately 2 Miles NNE of the field. Aircraft Y was 5 Miles south of the field; eastbound; on the visual approach for Runway 25. I immediately recognized the conflict. I instructed Aircraft X to turn Base; at this time he was approximately 2.5 Miles NE of the field. I informed Aircraft Y of the glider traffic and instructed him to execute a 5 Mile left base; at this time Aircraft Y was approximately 5 SE of the field. Aircraft Y asked if he needed to extend; I said affirmative; enter a 5 Mile left base. Aircraft Y immediately turned inbound for a 3 Mile left base. Aircraft X was established on a 2 Mile final and at 80 kts. I instructed Aircraft X to go around; he responded unable due to his engine being shut down. I then told Aircraft Y to go around; climb and maintain 3;000; fly heading 255. Aircraft Y read back his instructions and began to climb. I then coordinated with Approach Control; Aircraft Y was on the Standard Missed and coming back to him for re-sequence; Approach Control requested a 200 heading. I issued the 200 heading to Aircraft Y and told him to contact departure. I thought Aircraft Y had started turning and I switched him; but he was not turning. I realized he was heading into a much higher MVA. I told Aircraft Y he needed to start his turn to 200; that he was entering an MVA of 5700 feet but he had already switched frequencies. Adequate initial spacing and sequence provided by approach controller. Compliance from the Aircraft Y pilot to enter a 5 Mile left base. Compliance from Aircraft Y pilot to take assigned headings. Ensuring the pilot is physically turning to assigned heading to avoid conflict prior to frequency change.",,"We took LC (Local Control) for training; I was the trainer. It was in the middle of our training session that approach approved a right down wind arrival for RWY 25. Glider Aircraft X was told to turn a 3mile right base for RWY 25. At that time Aircraft Y was switched to us about 6 miles south of the airport on a visual approach. The trainee told Aircraft Y about glider traffic and instructed Aircraft Y to turn 5 mile left base. The trainee expected Aircraft Y to enter a 5 mile final; however; Aircraft Y turned a 5 mile left base for a 2 mile final and at that time Aircraft X was on a 2 mile going 70 kts. We realized it was not going to work with Aircraft Y going 170 kts so we tried to send Aircraft X around. Aircraft x told us they couldn't go around because their engine was off; so we made the decision to send Aircraft Y around. Initially; Aircraft Y was told to fly northerly hoping to build some space; then they were told to expect to go around. They were given a climb to 030 and a 255 heading; but they never acknowledged and continued northerly. The trainee coordinated the go around with the approach controller; which told us to give Aircraft Y a 200 heading. The trainee gave Aircraft Y that heading and switched them to approach. The aircraft continued northerly into a 5700 feet MVA for another few miles before they started their turn. After reviewing and listening to the tapes; we concluded that there was a misunderstanding between us and Aircraft Y. We gave certain instructions; but didn't get the results we expected. We should have used more control instructions such as; extend your downwind I'll call your base. We also switched Aircraft Y a bit too early; especially since he was heading in a north direction into a 5700 feet MVA. We had visual on the aircraft at all times; but should have kept the aircraft until we observed the turn.",,"SBA Tower controllers reported miscommunication with pilot resulted in entering a higher MVA.",
1714863,202001,1201-1800,ZZZ.Airport,US,,3,,6000,,IMC,10,,Night,2000,,TRACON ZZZ; Tower ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,FMS Or FMC,Climb,,Class B ZZZ; Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Electrical Wiring & Connectors,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 365; Flight Crew Type 16000,,,,,1714863,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 366; Flight Crew Type 3000,,Physiological - Other,,,1714884,Aircraft Equipment Problem Less Severe; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew,Taxi; In-flight,Flight Crew Returned To Departure Airport; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft,Aircraft,"The First Officer noticed smoke coming from the flight counter on his yoke. We [advised ATC] and returned.",,"Just prior to takeoff; both the Captain and I noticed a smell that we associated with the air conditioning system. The smell was faint prior to takeoff. After takeoff and selecting the flaps up; the smell became increasingly strong and changed to a burning plastic smell. I placed my hand on the upper half of the control wheel to initiate a turn towards a heading of 280. The flight counter (upper left) felt very hot to the touch; enough so that I couldn't touch that portion of the control wheel. I turned on my reading light and engaged the autopilot and saw smoke emanating from the flight counter. I informed the Captain and we immediately dawned masks and established Crew comm. We informed Departure of our [situation] and intention to return. Control was transferred to the Captain and I began running the smoke and fumes checklist. ATC initially vectored us to one runway then changed to a different runway which led to a 360 turn to better establish ourselves to land and configure. Captain gave me control back of the airplane; landed; and taxied to the gate uneventful after Ground EMS cleared us.",,"Flight crew reported burning smell and smoke emanating from the yoke on departure and returned to land.",
1714952,202001,1201-1800,ZZZ.Airport,US,,,,8500,,VMC,,,Dusk,,,TRACON ZZZ,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Climb,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Service/Access Door,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Time Pressure; Workload,Party1 Flight Crew; Party2 Maintenance,,1714952,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,1715381,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Aircraft; Procedure,Ambiguous,"It all started at Gate XX; when we noticed a 'Service door unlocked' indication on the door's page. We recycled closing the service door a couple times without success after which we made the entry in the logbook and called maintenance. Two maintenance personnel arrived within 5 minutes and started working on it; they ended up deferring the service door and associated ground valve. Maintenance struggled with their computer system and it wasn't until XB19Z that they returned with the logbook after leaving around XA40Z without leaving explanations. Dropped the brake at XB23Z; We requested XXR to expedite the departure with an off of XB41Z. In the climb; around 8;500 feet; a caution message 'Cabin Alt' came to our attention. We [advised ATC of] our intentions to return to the field; we requested vectors with time to run the QRH. The aircraft was not pressurizing and the manual control procedure ineffective; we completed the unpressurized procedure to make sure it would be unpressurized upon landing. All appropriate communications with ATC; dispatch; operations; the cabin; and a brief PA were made. We landed at 79;000 pounds with a rate of 300 ft/min. Arrived at Gate XY and entered the discrepancies in the maintenance logbook. As we walked off the aircraft for an aircraft swap; maintenance confirmed that the ground valve had not been correctly closed when following MEL directives.Identification: In flight by EICAS messageCause: The ground valve was not properly closed by maintenanceSuggestions: Stress with maintenance personnel the implications of their work.",,"The flight began at Gate XX with a FWD Service Door amber message that would not go away after the door was cycled closed several times. Maintenance was contacted via radio at XA07Z. They sent a crew out and arrived 5 minutes later. Once the maintenance team verified the problem; they decided to MEL the Service Door indication system. This MEL necessitated the MEL of the ground valve. Maintenance completed their work and returned the aircraft logbook to the Captain at XB19Z. We finished our checklists and were 'out' at XB23Z. We requested takeoff from XXR in order to minimize further delays for our passengers and were granted the request with a subsequent 'off' time of XB41Z. During the initial climb while communicating with ZZZ Departure; we received a CABIN ALT amber caution message on the EICAS. We decided to level the plane off and the Captain [advised ATC] and requested 9;000 feet and vectors in order to run the QRH. The Captain gave me the radios and controls while he ran the QRH. The aircraft was not pressurizing at all and the manual pressurization checklist did not solve the problem. The captain then ran the QRH directed unpressurized procedure to ensure the aircraft would remain unpressurized upon landing. The Captain contacted the FAs; Dispatch; Operations; and I updated ATC with pertinent information about our emergency. We set up the aircraft for return to ZZZ and landing on XXR and briefed the approach. We discussed that the Captain would land the aircraft due to the fact it would be an overweight landing. We exchanged the controls prior to intercepting the final approach course. The Captain landed the aircraft and taxied the aircraft to the gate without further issue. The landing was made at 79;000 lbs and at a decent rate of 300 ft/min. After arrival at Gate XY; the appropriate entries were made in the logbook; walk-around completed; and the Captain notified maintenance. Upon leaving the aircraft; maintenance informed us that the ground valve was not fully closed as it should have been when completing the MEL before pushback.The failure to fully close the ground valve caused the aircraft to not pressurize during flight.",,"CRJ-900 flight crew reported that the aircraft failed to pressurize during initial climb. The ground valve had not been fully closed by maintenance during work conducted on the aircraft prior to departure.",
