 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2068164,202401,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Dawn,,,Tower ZZZ,Air Carrier,Falcon 7X,,2,Part 135,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,Air Carrier,B777 Undifferentiated or Other Model,,,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,2068164,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 ATC; Party2 Flight Crew,,2068540,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway,,,Person Flight Crew,,Flight Crew Rejected Takeoff; Flight Crew Took Evasive Action,Procedure; Human Factors,Human Factors,"Was told to line up and wait runway XXR at intersection 1. Then was cleared for take off. After passing 80 kts; the PIC and pilot flying rejected the takeoff due to a B777 in tow crossing the approach end of [Runway] XXL. The sight picture looked like the aircraft in tow was crossing mid runway. After rejected the takeoff; the PIC and pilot flying exited the runway on Taxiway 2. Taxied back to run checklist. ZZZ Tower might have wanted to advise us that there would be a crossing aircraft in tow on the approach end of the runways before clearing us to takeoff. Or the tug towing the aircraft might have not been cleared at the time of our takeoff. We are unsure of that due to us being on tower frequency and not ground frequency.",,"Crew was preparing for departure to ZZZ1. The aircraft underwent a normal power up and taxi. The crew requested to depart [Runway] XXR instead of XR/L with the intent to shorten taxi time. The crew took the runway and started a rolling takeoff. Passing 80 knots; a tug pulling a Company 777 pulled through the approach area of [Runway] XXL. The captain; myself; decided to reject takeoff as the sight picture appeared that the 777 was crossing mid runway. We exited the runway; consulted brake cooling charts; and took off again with no other issues. The problem likely could have been prevented had tower control notified the crew that there was a 777 on a tug on the [Runway] XXL approach end passing in front of the runway. Also; there was no clear markings or barriers indicating that he was not on our runway at the time. For this reason along with the sight picture; we decided to take a precautionary rejected takeoff.",,"DA-7X flight crew rejected a takeoff due to an aircraft under tow looked to be crossing mid-runway.",
2068412,202401,0601-1200,SKX.Airport,NM,,,0,,,VMC,,,Daylight,,,,,Light Transport; Low Wing; 2 Turbojet Eng,,,,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helicopter,,,,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,,Observer,,,,Other / Unknown; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,2068412,,,,,,,,,,,,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,,,Person Other Person,Taxi,General None Reported / Taken,Human Factors; Procedure,Human Factors,"A large corporate aircraft taxied with in 5-8 inches of static parked helicopter. I was monitoring the ramp situation as the lack of corporate pilot awareness during taxi maneuvers at the Taos Regional Airport has been systemically unsatisfactory in the past; with previous collisions occurring between the static helicopter and transient taxing corporate jets. I rushed outside when it became apparent that clearance issues between the taxing jet and static helicopter might be compromised. I was unable to signal the corporate pilots or they were unwilling stop their aircraft as it appeared the clearance of the jet wing tip to helicopter rotor blade might be compromised. Aircraft taxi speed was faster than a brisk walk. There were no FBO ground guides present. The jet aircraft was taxing against the normal flow of the ramp traffic direction.Suggestion: The ramp area was mismanaged between parked aircraft and transient taxi aircraft. Upon discussion with management it was suggested the ramp area in front of the hangar should be designated a no long term fixed wing parking area; and ground marshaling should be required for all transient aircraft in this congested area. This information could be included in AWOS broadcast; AFD; multiple signage and NOTAMS. This will require the FBO to agree to this policy and procedures. Additionally the FBO is not manned during night hours; for mitigation the helicopter can remain inside the hangar at night or hazard lights could be installed around the parked helicopter.",,,,"Ground observer reported a critical ground conflict. The reporter states a taxing corporate jet nearly collided with a parked helicopter.",
2068417,202401,1201-1800,LCCC.ARTCC,FO,,,,38000,,,,,Daylight,,,Center LCCC,Air Carrier,Widebody; Low Wing; 4 Turbojet Eng,,2,Part 121,IFR,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Human-Machine Interface; Situational Awareness; Troubleshooting,Party1 Flight Crew; Party2 ATC,,2068417,,,,,,,,,,,,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,ATC Equipment / Nav Facility / Buildings; Aircraft; Human Factors; Procedure,ATC Equipment / Nav Facility / Buildings,"GPS Spoofing. Enroute today from ZZZ to SOF; we were just north of Egypt approaching LAKTO intersection on our filed route; both of our iPads showed the airplane directly over OLBA Beirut International Airport. The event lasted 5 minutes. We verified the exact location of the airplane and we were on course. Airplane was never off course. Only our iPads were affected.",,,,"Air carrier pilot reported GPS spoofing at cruise over the Mediterranean Sea while under ATC control during daylight conditions. The pilot observed the aircraft at an incorrect position; which alerted the pilot to the GPS spoofing event; which lasted for a short duration then resolved.",
2068537,202401,1201-1800,MCO.TRACON,FL,090,2,,2500,,VMC,,,Daylight,,,,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,Part 91,None,Training,,Cruise,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 99; Flight Crew Total 935; Flight Crew Type 300,,Training / Qualification; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,2068537,,,,,,,,,,,,Conflict Airborne Conflict; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 500; Vertical 0,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Human Factors,"Practicing simulated arcs with instrument student. Other aircraft came directly at us at our altitude. Descended and turned to avoid; other aircraft followed closely as we sped up to depart. Other aircraft continued following until we entered mode C veil. Other aircraft did not have ADSD out; was not communicating on any freq.",,,,"General aviation Instructor reported a near miss on a training flight during cruise. The instructor maneuvered to avoid a collision.",
2068539,202401,1201-1800,ZJX.ARTCC,FL,,,,7500,,VMC,8,,,25000,,TRACON F11,Personal,Amateur/Home Built/Experimental,,1,Part 91,VFR,Personal,,Cruise,Airway T208,Class E F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON F11,,Small Aircraft,,1,Part 91,VFR,,,Cruise,,Class E F11,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Other Tailwheel,Flight Crew Last 90 Days 100; Flight Crew Total 4000; Flight Crew Type 310,,Confusion,,,2068539,,,,,,,,,,,,ATC Issue All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 303; Vertical 0,,Automation Aircraft TA; Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Chart Or Publication; Procedure; Airspace Structure; Human Factors,Procedure,"I was enroute southeast bound on T208 VFR; in VMC conditions; not with flight following; at 7;500 ft. Roughly around FORNI intersection located on V3; I was navigating on T208; roughly 3 or 4 miles northwest of MALET intersection; I received an ADS-B In traffic advisory for traffic 12 o' clock; less than 1 NM; same altitude. It is important to note that the traffic was not on my display prior to this alert. I saw the traffic on ADS-B appear on my map as if their ADS-B Out just started to work. Upon receiving this alert; I checked my map to determine the direction of the traffic; and recognized that it was in the opposite direction on the same airway at my exact altitude. I disconnected my autopilot and checked ahead to find the traffic to ensure that I don't take an evasive maneuver into the traffic in case it was slightly off course from where I was. I identified the traffic after a few seconds as Aircraft Y. I estimate that I observed the traffic closing at less than ½ mile at the time I found it. I recall that while it was a good VMC day - the sun was blocked to make the aircraft not very reflective to identify easily.Once I recognized that I was on a direct collision course I made an immediate right bank turn to avoid the traffic. I recall from the point I made the bank to the point it passed me was roughly 3 seconds. I continued to observe the traffic to determine if the pilot of that aircraft also took evasive action. They did not. I do not believe the pilot of that aircraft was paying attention; and is still unaware that anything happened on that flight. After recovering the aircraft and reestablishing a flight path with autopilot engaged; I attempted to contact the aircraft on 121.5 as I had its tail number listed on my ADS-B as Aircraft Y. Attempting to contact twice; they did not respond. I then contacted Daytona Approach on 125.35 who then directed me to Orlando Approach for the location I was in - I do not recall the frequency. Orlando Approach informed me that he was not talking to that aircraft. After the flight; I reviewed the ADS-B data online to estimate how close we actually got; as well as altitudes and ground tracks. I was able to verify we were on the same airway going in opposite directions at the same GPS altitude; and at my estimated point of closest approach; we were 300 to 400 ft. after my evasive maneuver. I firmly believe that we were on a nose-to-nose collision course.It is my understanding that there is an LOA (Letter of Agreement) for the eastern sector air traffic controllers in Florida that for IFR traffic heading northbound; they fly at odd thousand altitudes and southbound flies even thousand altitudes; which is in contrast to the normal eastern tracks being odd and western tracks being even. This is to avoid all airline traffic and IFR traffic from having to change altitude as they go north along the east coast.Due to this LOA; I wanted to clarify with ATC if there was a written document; NOTAM; or AC of some kind that applies this to VFR traffic as well. The ATC controller informed me that they do the reverse of even and odd thousand altitudes for IFR traffic; and they also do it for VFR flight following traffic. They said that northbound will be odd thousand plus 500 and southbound would be even thousand plus 500. This directly contradicts AIM 3-1-5.The controller further reminded me that VFR traffic can technically fly whatever altitude they want as they are not being controlled. I asked them for a reference specific to this swapping of altitudes; they responded with that it was only in the LOA amongst controlling agencies. I can recognize and understand the IFR altitudes being opposite of what is considered normal because all IFR aircraft are controlled and provided separation. However; I think that this LOA - I could not find the LOA the controller referenced - is a danger to all VFR traffic whether they are on flight following or not. An aircraft on flight following is not required to be given traffic alerts if the controller is saturated and this incident I encountered could have happened whether the oncoming aircraft was on flight following or not; because according to ATC they would have assigned that type of altitude to that aircraft.Some pilots do flight following some days; and other days not. They could one day get an instruction to fly the wrong altitude and be given that LOA information by ATC; and could begin to regularly fly at opposite direction altitude which will increase the chances of a mid-air collision. Ultimately; ATC is utilizing this LOA to reduce the altitude changes that happens at the Florida/Georgia border; which for IFR traffic congestion is sensible; but not for VFR traffic. The amount of risk associated with the LOA applying to their VFR flight following traffic is too high as opposed to them assigning a new altitude for those few VFR flights that cross the border as they continue northeast bound or southeast bound.If one thing could come out of this report to make me feel safe flying cross-country along the east coast; flight following or not; is to get rid of ATC's VFR cruise altitude LOA. The risk associated with wrong altitude flying is too high; and these altitudes take place in some of the busiest airspace in the world with all the airline traffic; VFR personal traffic; as well as training flights at flight schools who are being instructed the proper altitudes but then are given opposite altitudes from ATC. The only reason that this mid-air did not happen is because I heard an alert; saw the traffic; and evaded.",,,,"Experimental aircraft pilot operating in ZMA airspace reported a NMAC with another VFR aircraft that was traveling in the opposite direction at the same altitude. Reporter stated the area has an LOA that allows IFR traffic to fly at odd altitudes while northbound; and to fly at even altitudes while soundbound; which may be in conflict with the standard of eastbound headings being flown at odd altitudes and westbound at even altitudes.",
2068551,202401,1201-1800,ZZZ.Airport,US,0,0,,6500,,VMC,10,,Daylight,,,Tower ZZZ,FBO,Skyhawk 172/Cutlass 172,,1,Part 91,None,Training,,Cruise,,Class D ZZZ; Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Throttle/Power Lever,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor; Pilot Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Multiengine,Flight Crew Last 90 Days 50; Flight Crew Total 750; Flight Crew Type 500,,Situational Awareness; Troubleshooting,,,2068551,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport,Aircraft; Human Factors; Procedure,Aircraft,"Departed ZZZ for PPL training. All controls normal for take off; cruise; and maneuvers. During simulated loss of power procedures throttle seemed to be getting slightly harder to move regardless of friction lock setting. Flew to ZZZ1 for pattern work. During pattern work; throttle usability decreased. No power or full power was achievable; but no modulation was possible. During climb out black/gray oil was seen on throttle rod. Returned to ZZZ at full power and advised tower of issue. Flew a high/ fast approach at full power before setting throttle to idle and landing without power. Taxied back to tie downs alternating between full power and idle. Shut down without incident. No damage to aircraft nor injury to people.",,,,"Cessna 172 Instructor reported a throttle malfunction during a training flight resulting in either full power or no power settings; with no modulation in between. The aircraft returned to the departure airport and landed safely.",
2068563,202401,1801-2400,ZZZ.Airport,US,,,0,,,,,,,CLR,,Tower ZZZ,Government,Trojan (T28),,1,Part 91,VFR,Training,,Landing,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Brake System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Government,Single Pilot,,Air Traffic Control Military 40; Flight Crew Last 90 Days 48; Flight Crew Total 5638,,Situational Awareness; Training / Qualification,,,2068563,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Taxiway,,,Person Flight Crew,Taxi,Flight Crew Regained Aircraft Control; Flight Crew Took Evasive Action; General Maintenance Action,Aircraft; Procedure; Human Factors,Human Factors,"ZZZ Tower cleared me to land on Runway XX. I landed the aircraft as mentioned earlier; and ZZZ Tower instructed me to turn right on taxi 1. I proceeded to turn right into the taxiway 1 when I noticed that I was not at the proper speed. I locked the brakes as I turned into Taxi 1; but the aircraft skidded to the left; and due to the turn's momentum; I could not make the complete turn. I stopped the aircraft immediately. The nose of the aircraft got into the grass of the taxiway and was near the taxi light pole.  I turned the aircraft engine off immediately. I advised ZZZ Tower of the situation; and they sent 2-people from the airport flight operations to assist. Flight operations were able to get 3 additional people; and we pushed the nose back into the blacktop taxiway 1. I started the aircraft; advised ZZZ Tower; and they cleared me to taxi back to my assigned hangar. No damage to the aircraft or to the airport. The aircraft was inspected; and no deficiencies were found. I was trying to comply with ZZZ Tower instructions; but I understand my mistake; and I should have reported being unable to take another taxiway. Nothing follows.",,,,"T-28 pilot reported a taxiway excursion while attempting to exit the landing runway at an excessive speed. Pilot tried to accommodate an ATC instruction to exit the landing runway and locked the brakes in effort to do so.",
2068582,202401,1201-1800,ZLC.ARTCC,UT,,,,13000,,,,,,,,Center ZLC,Personal,Small Aircraft; Low Wing; 2 Eng; Retractable Gear,,1,Part 91,IFR,,,Cruise,Vectors,Class E ZLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLC.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 2.5,,Situational Awareness,,,2068582,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Human Factors,Human Factors,"The aircraft wanted to stay low and I was vectoring them around terrain. I issued a right hand turn; when I ment to turn them left. My D-side brought my mistake to my attention and I turned the aircraft away from the terrain and climbed them above it. The aircraft still entered the higher MIA area. I should have climbed the aircraft much earlier. It would have saved me the work of vectoring the aircraft.",,,,"Center Controller reported turning an aircraft the wrong direction to a higher minimum instrument altitude area; then turned aircraft away from terrain.",
