 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1961438,202301,0601-1200,TPA.Airport,FL,,,0,,,IMC,Fog,,,,,Ground TPA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,Class B TPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground TPA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,,,Taxi,,Class B TPA,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 154; Flight Crew Total 171; Flight Crew Type 171,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1961438,,,,,,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Critical; Ground Event / Encounter Weather / Turbulence,,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Weather; Procedure; Human Factors,Human Factors,"The weather at TPA on the arrival was 1/4 SM and FG with RVR values shifting between 300 and 1200. We had to hold on the localizer at LAGOO until RVR values improved to above our required minimums; and we began calculating and refining Divert BINGO fuel and coordinating with dispatch to develop a plan if RVR values remained below minimums. After approximately 5 minutes in holding; ATC announced RVR values above our minimums and we commenced the ILS CAT III auto land to Runway 1L. After landing Tower instructed us to exit the W5 high speed and turn left onto Taxiway Whiskey. They also advised us to report leaving the runway. There was an Air Carrier on final approach behind us on the same approach. As we were rolling out on W5 I noticed a dark silhouette of an aircraft that appeared to be moving directly at us. It was extremely difficult to see; but I yelled 'STOP' to the Captain; 'the aircraft is going to hit us.' Because of the dense fog; the aircraft was still hard to see but it continued moving towards us from Taxiway V4. We applied maximum brakes; and the Captain moved to the left edge of W5 to avoid the collision. The other aircraft never slowed down; and if we would have noticed it a second later we would have collided. There was a second aircraft following the first; and it did not slow down either; and it passed our wingtips within ft. We immediately told Tower we still weren't clear of the runway on Taxiway W5; advised them of the near ground collisions; and continued taxing as instructed on Taxiway W. The remainder of the low visibility taxi to our gate went without incident. After we were safely parked and shutdown at the gate; the Captain called the ATC facility; and asked what happened. They stated that the two aircraft that almost hit us were 'not supposed to be there.'",,,,"Air Carrier First Officer reported a ground conflict during taxi to gate at TPA airport.",
1961479,202301,0601-1200,ZZZ.Airport,US,,,,7000,,IMC,,,Daylight,,,,Corporate,Beechjet 400,,2,Part 91,IFR,Passenger,,Descent,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal Stabilizer Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Troubleshooting,,,1961479,Aircraft X,Flight Deck,Corporate,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Troubleshooting,,,1961482,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed As Precaution; General Flight Cancelled / Delayed; General Maintenance Action,Human Factors; Aircraft,Aircraft,"On descent into ZZZ setting up for the ILS XX passing through 7;000 ft.; the Icing Light had Illuminated. Power was retarded and Wing Heat and Tail Ice Protection was applied. Immediately on Tail Ice Selection the Red Warning Light Illuminated indicating that there was a Tail Ice Failure. Captain recognized light and turned off and re selected Tail Ice after confirming Tail Ice Protection circuit breaker was in. Again Tail Ice failed. The Captain being Non Flying Pilot; used QRH for the Tail Ice Failure procedure. Approach was briefed along with the differences of QRH. New landing distance was calculated. Approach was completed with a landing. After clearing the Runway; advised Tower some tests were completed and advised Maintenance.",,"On descent into ZZZ we had ATC reports of tops and bottoms and negative icing. We encountered icing conditions and began to configure airplane for flight in icing. Upon turning on H Stab Anti/deice; Master Warning immediately went off and H Stab Fail Annunciator came on. Name continued Pilot Flying duties and Name1 as Pilot Monitoring; grabbed the QRH and ran through our H Stab Failure checklist; followed by approach to land 10 degrees flaps checklist. After landing and taxiing off the Runway; we reset systems and tested the H Stabilizer Failure Light illuminated and stayed on; test was a failure. No suggestions; not a preventable occurrence. Procedures were followed and safe conclusion of flight.",,"Beechjet 400 flight crew reported Tail Ice Protection failure during IMC conditions. Flight crew was unable to restore Ice Protection for the Horizontal Stabilizer and continued the approach to landing at destination airport.",
1961497,202301,0601-1200,,,,,0,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 183; Flight Crew Total 2280,,Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1961497,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,Human Factors,Human Factors,"A Ramp Agent brought me a battery powered wheelchair form.  The only box that was checked was the one next to Lithium ION Battery.  I asked the Agent to send whoever loaded the wheelchair to come back up to the cockpit.  When the Ground Agent arrived and I asked him about the subsequent selections in the Lithium Ion Battery box he said he only checks that top box; signs the bottom and that is it.  When I attempted to point out that there were additional conditions that need to be met before transporting the battery; he said he would get a Supervisor.  When the Supervisor arrived; I had to explain to him how the form works and that there was a checklist to follow.  He went and talked to the customer and came back up and said the customer had the battery with them in the cabin; (crew members were not informed) so he circled B on the form; but still did not verify any of the subsequent conditions.  When I asked him to verify that those 4 conditions were met; he went back to speak with the customer again; and discovered that Lithium battery was over 400WH which exceeds the cabin allowance.  At that time; it was determined that we could only take the battery if was taken to the wheelchair and was securely attached to the wheelchair.  The battery was finally transported in accordance with company procedures after a delay to rectify the improper loading.",,,,"B737 Captain reported a Lithium Ion battery powered wheelchair was incorrectly configured for transport. After conferring with ground personnel the Lithium Ion battery was securely attached to the wheelchair and required documents provided to the Captain; the aircraft departed safely.",
1961532,202301,0001-0600,SCT.TRACON,CA,,,,1800,,VMC,,,,,,Tower SNA,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class C SNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C SNA,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 170; Flight Crew Total 3607; Flight Crew Type 2785,,Workload,,,1961532,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,Vertical 100,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"I was hand flying the ILS 20R into SNA and was just outside the FAF when I saw a black and white drone ahead and slightly right of us. It moved up and we passed about 100 ft. below it. It seemed it was hovering between the clouds and watching us. I pointed it out to the Captain and he reported it to air traffic control. We landed without incident.",,,,"Air carrier First Officer reported spotting a UAS close to the aircraft on final approach.",
1961538,202301,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Parked; Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,External Power,,X,Malfunctioning; Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Troubleshooting; Situational Awareness; Human-Machine Interface; Confusion; Communication Breakdown,Party1 Ground Personnel; Party2 Flight Crew,,1961538,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Ground Event / Encounter Ground Equipment Issue,,N,Person Flight Crew; Person Ground Personnel,Aircraft In Service At Gate,General Maintenance Action; General Flight Cancelled / Delayed,Procedure; Aircraft; Human Factors,Human Factors,"Aircraft X from ZZZZ blocked into Gate X at XA:39 in ZZZ. Lead ramp agent plugged in the ground power as normal and turned it on. Upon pressing the button; the GPU panel immediately made a popping noise and smoke and sparks were visible coming out. The lead ramp agent immediately shut off the power and call the Supervisor to the Gate. Upon asking the Captain if anything was wrong with the ground power panel; they simply stated that some sort of small fire issue in ZZZZ and that the GPU outlet was deferred. After closer inspection; there was one INOP sticker positioned in such a way it was not immediately visible inside the ground power panel. But with a risk of electrical fire; I do not believe a small 1 inch INOP sticker is sufficient in warning of the potential shock/fire hazard. Lead ramp agent says no burn evidence on the panel or receptacle upon arrival. Further; no communication was made between Company Maintenance/Flight Crew/ZZZZ to any ramp personnel; Managers; Supervisors; etc. about the hazard. A completely avoidable situation with some simple communication. Please see attachment pictures for aftermath. Of note are the additional stickers Company. Maintenance added after the fact; and the on.",,,,"Ramp Agent reported a failure in the external power connector when ground power was applied to the aircraft. A loud popping noise was accompanied by smoke and sparks. The ground power was disconnected and the external power cable was placarded INOP.",
1961558,202301,1201-1800,MYNN.Airport,FO,,,,,,,,,,,,Ground MYNN,Corporate,Light Transport,,2,Part 91,IFR,Ferry / Re-Positioning,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 Other,,1961558,,,,,,,,,,,,Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue,,,Person Flight Crew,Taxi,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Became Reoriented,Airport,Airport,"My Captain and I met at ZZZ to fly one ferry leg to MYNN Nassau for the first leg of my second IOE tour. I arrived prior to him and took the opportunity to review feasibility notes and international procedures because this was my first flight to the Caribbean. Everything was standard on departure and enroute. There were minor deviations from standard tasks on my part; still being on IOE. During the arrival; we had initially briefed and loaded RNAV 14; as that was a reported approach in use; and the preferred one; considering the hot spot at Taxiway Bravo. While on the descent; Nassau Approach Control changed our approach from RNAV 14 to RNAV 10 (the runway listed above is erroneous; the current numbering is Runway 10/28) and we exchanged controls in order to re-brief the approach. However; we were entering the terminal area; and it became difficult to get a complete brief. My Captain took the controls back; and once there was a moment to mention it; I brought up the feasibility notes in chart software regarding Taxiway Bravo; specifically; that the taxiway appears from a distance to be a high-speed exit but is in fact a sharper turn and shorter taxiway than expected. We had initially briefed a long taxi to the end of 10 to avoid the hotspot altogether; but MYNN was landing and departing both runways and it was operationally not possible. In retrospect; I should have mentioned an equally important note: that the hold short lines have been faded and repainted; and that the hold short signage is offset from the hold short line. We landed and were instructed to 'vacate 10 on Bravo and hold short of 14.' We took the left turn onto Bravo from Runway 10 at an appropriate speed; and as we continued taxiing; we both looked at what appeared to be multiple sets of small; faded; and nonstandard hold short markings. After crossing one but prior to the farthest marking for 14; I told the Captain 'brakes;' and he stopped the aircraft almost simultaneously with the MYNN Tower radio call; reinforcing; 'Aircraft X hold short Runway 14.' We stopped short of runway 14 before one hold short marking and the signage for Runway 14; but after another faded marking on the taxiway. Tower did not inform us of any deviation; and I believe we remained short of the Runway 14/32 hold short lines. After the traffic passed left to right on Runway 14; we received clearance to cross Runway 14 and were instructed to contact Ground. The remaining taxi to the FBO went smoothly; and the Captain and I debriefed the experience after achieving the shutdown and securing checklists and providing documentation to Customs. Although I believe we properly held short of Runway 14; to myself and the Captain; it remains unclear from both the taxi diagram and the feasibility notes which hold short marking is supposed to be complied with; as I believe there are at least four on the taxiway.Suggestions:  While the Airport Briefing page in the FDPro (FliteDeck Pro) and the Feasibility notes state that the taxiway includes non-standard and faded hold short lines; I don't believe that this fully explains issue. Including a picture in the airport briefing page; similar to the pictures included for runway briefings; would be most helpful. While my Captain and I were both aware of the potential issue; it still did not prepare us to determine which of the multiple hold short lines was most standard; and where to stop the aircraft.",,,,"Air Carrier First Officer reported issues at MYNN with taxiway signage and faded hold short lines; resulting in confusion about the aircraft's position at a runway.",
1961566,202301,1201-1800,CLT.TRACON,NC,,,,7000,,,,,,,,Tower CLT,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,,Part 121,IFR,Passenger,,Climb,,Class B CLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B CLT,,,,,,,,,,,,,,,,Multi-Rotor,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,1961566,,,,,,,,,,,,Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"On climb out nearing the LILIC waypoint approximately 7;000 ft. I noticed a drone out of the Captain window. It wasn't a near miss but it was close enough that I could see all 4 propeller blades on the drone spinning. Reported immediately to ATC. Cause: Allowing high altitude drones to be sold to the public. This is extremely dangerous. Our speed was 250 knots. Had that drone hit the wing or been ingested in the engine it could have been catastrophic. Ban these drones. Suggestions: Ban high altitude drones!",,,,"Air carrier pilot reported spotting a UAS on climb out at 7000 ft.",
1961571,202301,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,Night,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Wing Spar,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Human-Machine Interface; Confusion,,,1961571,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Confusion; Situational Awareness; Human-Machine Interface,,,1962115,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR,,Y,Person Passenger,Aircraft In Service At Gate; Routine Inspection,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted; General Maintenance Action,Procedure; Aircraft; Human Factors,Procedure,"While awaiting push back; a Passenger identified and presented to a Flight Attendant an upper wing surface panel that was not flush. The Flight Attendant took a picture and presented to us. I had not noticed it on the preflight. Maintenance could not see it from the ground without a ladder. After dropping the flaps for a better view; Maintenance inspection revealed loose connections and a missing spar. We refused the aircraft. Although fortunate that a passenger identified the issue; this should have been discovered during the preflight walk around. My normal routine included a cursory glance at the top of the wing for abnormalities and contamination. I have since changed my routine to more thoroughly inspect the top of the wing while under the tail; providing a better view of any non-flush surfaces.",,"We were completing the before start checklist. Flight Attendant (FA) advised a Passenger was concerned about something on the wing. I had the FA get a photograph of what was concerning. The photo showed a panel on the left upper wing between the inboard and outboard spoilers was not flush with the wing surface; as it should be. I had Maintenance look at the panel. We lowered the flaps to assist their inspection. The panel was not secure from underneath the wing. Bolts were loose. Parts of the structure were worn out where the bolts were supposed to hold the panel in place; allowing unacceptable movement of the panel. I refused the aircraft for flight. Further investigation by Maintenance showed an additional support structural spar was missing entirely. Cause unknown on my part. What is very concerning to me is that our procedures do not readily assist in seeing this type of loose panel on a routine walk around. A ladder would have been required to see the panel was loose. Adding to my concern is that the final chance to find this issue fell to an excessively observant passenger. This passenger brought a concern to our attention; we investigated; a structural failure was discovered. This aircraft would have flown had a passenger not intervened. The FO demonstrated a habit of meticulous scrutiny of the aircraft during his prior walk arounds during this sequence. We were both surprised this loose panel could be overlooked during a walk around. I'd recommend a more intensive preflight with maintenance and aircrew coordination to prevent this from occurring again.",,"B737-800 flight crew reported receiving a report from a passenger that was relayed by the Flight Attendant of a wing access panel not flush. Maintenance was called to inspect and found the panel attaching hardware loose and worn; with a wing support piece missing. The aircraft was then refused.",
